helység 1	helység2	táv	útdíj	fogyasztás
582	583	10	30	1,070
582	759	7	7	1,210
583	584	15	15	0,910
583	592	19	57	1,410
584	585	12	36	1,270
584	894	13	39	0,990
585	586	19	57	0,990
585	936	12	12	0,840
586	587	4	12	1,500
586	651	10	30	1,430
587	588	12	12	1,190
587	904	2	6	1,420
588	589	9	18	1,010
588	867	4	12	1,230
589	590	5	15	0,920
589	952	2	2	0,840
590	591	21	63	1,040
590	985	20	20	0,750
591	592	24	24	1,030
591	704	23	23	1,210
592	593	12	12	1,370
592	669	23	46	1,040
593	594	3	6	1,280
593	741	1	1	1,470
594	595	14	42	1,380
594	897	7	14	1,220
595	596	19	19	1,040
595	811	19	19	1,390
596	597	2	2	1,000
596	984	5	10	1,490
597	598	8	24	0,900
597	950	18	18	1,460
598	599	14	28	1,090
598	981	5	5	1,130
599	600	17	17	1,270
599	614	13	39	0,820
600	601	20	40	1,250
600	959	21	21	1,240
601	602	4	12	0,950
601	977	25	50	1,480
602	603	15	15	1,500
602	722	8	8	1,320
603	604	18	54	1,240
603	889	16	16	0,770
604	605	18	54	0,860
604	961	20	60	0,790
605	606	25	25	1,400
605	859	1	3	1,100
606	607	9	27	0,790
606	843	8	24	0,970
607	608	18	18	0,900
607	854	24	72	0,820
608	609	14	28	0,970
608	714	4	4	1,390
609	610	22	22	0,920
609	871	14	28	0,800
610	611	22	66	0,790
610	669	12	12	0,870
611	612	22	66	1,350
611	921	6	18	1,500
612	613	10	30	1,190
612	981	15	15	1,260
613	614	3	6	1,320
613	767	12	24	1,060
614	615	14	14	0,900
614	698	12	36	1,420
615	616	1	3	0,880
615	771	3	6	0,910
616	617	13	39	1,470
616	829	12	12	1,070
617	618	19	19	0,760
617	959	23	46	1,160
618	619	25	50	1,340
618	954	7	14	1,080
619	620	9	18	0,970
619	848	12	12	0,870
620	621	11	33	1,040
620	710	7	21	1,500
621	622	24	48	1,370
621	907	10	10	0,990
622	623	25	50	0,850
622	762	10	30	1,230
623	624	18	36	1,050
623	654	23	23	1,010
624	625	21	21	1,490
624	653	25	50	1,410
625	626	6	6	1,430
625	832	22	44	0,940
626	627	22	44	0,880
626	950	9	18	1,160
627	628	20	60	1,210
627	729	21	63	1,440
628	629	24	72	1,230
628	737	23	46	1,280
629	630	18	36	1,220
629	891	16	16	1,480
630	631	23	23	1,340
630	708	11	11	1,090
631	632	4	4	1,480
631	880	24	24	0,830
632	633	11	33	0,810
632	914	9	18	1,160
633	634	21	63	1,310
633	909	10	30	1,150
634	635	7	21	1,060
634	722	5	5	0,900
635	636	20	60	1,190
635	976	8	24	0,840
636	637	10	20	1,050
636	919	13	39	1,380
637	638	21	63	1,180
637	933	1	2	0,970
638	639	8	8	1,300
638	647	10	20	1,100
639	640	25	25	1,320
639	694	2	6	1,230
640	641	19	38	1,100
640	781	22	66	1,030
641	642	14	28	0,770
641	885	5	15	1,130
642	643	9	27	0,890
642	711	4	12	0,960
643	644	3	3	0,990
643	764	15	30	0,890
644	645	4	4	1,230
644	987	15	30	1,330
645	646	14	42	1,230
645	960	5	10	1,010
646	647	12	24	1,040
646	809	19	19	1,470
647	648	17	51	1,340
647	836	5	5	0,900
648	649	5	5	0,980
648	707	21	42	1,440
649	650	19	38	1,360
649	994	12	12	1,290
650	651	15	45	0,930
650	754	9	9	0,860
651	652	1	3	0,950
651	798	13	39	0,970
652	653	16	48	1,130
652	955	1	2	1,310
653	654	8	8	1,460
653	975	19	57	1,090
654	655	3	6	1,270
654	762	11	22	1,380
655	656	20	40	1,260
655	749	2	4	1,380
656	657	18	36	1,050
656	684	6	18	1,260
657	658	3	9	1,190
657	994	25	25	0,820
658	659	1	2	1,110
658	817	19	38	0,770
659	660	10	10	1,130
659	842	9	9	1,220
660	661	8	24	1,070
660	893	12	24	1,070
661	662	7	21	0,830
661	983	17	17	0,920
662	663	6	12	1,150
662	991	8	16	0,840
663	664	15	45	0,820
663	738	5	15	1,100
664	665	17	34	1,130
664	698	9	27	1,220
665	666	14	42	0,940
665	894	17	51	1,110
666	667	20	60	1,080
666	678	8	8	0,990
667	668	7	21	1,190
667	807	7	14	1,230
668	669	9	18	1,270
668	804	6	18	1,170
669	670	14	14	1,140
669	894	13	26	1,280
670	671	15	45	0,970
670	954	11	33	0,750
671	672	18	54	1,370
671	834	13	13	0,970
672	673	17	17	1,030
672	745	14	28	1,240
673	674	13	39	1,350
673	937	14	28	0,770
674	675	5	15	1,110
674	769	3	6	1,260
675	676	8	24	0,930
675	851	24	24	0,960
676	677	6	12	1,450
676	924	13	26	1,140
677	678	6	18	1,430
677	714	2	2	1,450
678	679	2	4	1,060
678	799	4	12	0,910
679	680	12	12	0,810
679	685	23	23	1,290
680	681	5	10	0,970
680	764	11	22	0,880
681	682	9	9	0,990
681	818	25	25	1,410
682	683	20	20	1,020
682	772	9	27	1,030
683	684	25	25	1,070
683	685	10	20	1,060
684	685	2	4	0,920
684	943	12	36	0,880
685	686	16	16	1,290
685	789	13	39	1,280
686	687	21	42	0,800
686	962	21	21	0,800
687	688	23	23	1,500
687	705	7	14	1,190
688	689	2	2	1,400
688	988	19	19	0,930
689	690	3	3	0,850
689	867	18	36	1,060
690	691	11	22	0,870
690	807	14	14	1,450
691	692	25	50	1,340
691	824	15	45	1,090
692	693	17	34	1,020
692	825	10	20	1,030
693	694	19	19	0,960
693	746	15	15	0,900
694	695	25	25	0,890
694	892	22	44	0,760
695	696	24	24	0,820
695	730	18	36	0,820
696	697	3	3	1,430
696	881	15	45	0,930
697	698	13	13	1,420
697	702	20	20	1,480
698	699	23	46	0,800
698	877	14	28	1,450
699	700	20	40	1,050
699	723	3	6	1,370
700	701	16	48	1,300
700	980	22	22	1,070
701	702	10	20	0,920
701	748	8	8	1,400
702	703	6	6	0,770
702	982	11	11	1,280
703	704	5	10	1,030
703	950	9	9	1,310
704	705	21	21	1,040
704	889	19	57	1,170
705	706	24	48	1,050
705	713	11	11	1,360
706	707	17	51	1,280
706	801	25	25	0,980
707	708	20	20	0,850
707	960	12	24	1,230
708	709	21	21	0,990
708	879	18	18	1,490
709	710	24	72	0,790
709	746	6	12	1,140
710	711	16	16	0,960
710	794	12	36	1,200
711	712	8	8	1,190
711	986	19	57	0,830
712	713	23	23	1,040
712	759	11	11	0,790
713	714	4	4	1,490
713	791	12	24	1,360
714	715	6	18	1,360
714	887	3	6	1,240
715	716	10	10	1,020
715	868	2	4	1,210
716	717	3	3	1,460
716	919	1	1	1,410
717	718	14	28	1,270
717	755	13	39	1,130
718	719	23	46	1,480
718	869	10	10	0,890
719	720	14	42	1,290
719	924	1	1	1,350
720	721	2	4	1,020
720	900	2	4	1,340
721	722	20	60	0,880
721	811	22	66	0,760
722	723	10	30	1,360
722	761	10	10	1,000
723	724	11	11	1,170
723	753	23	46	1,240
724	725	24	48	1,240
724	913	22	66	1,380
725	726	9	18	1,200
725	942	25	25	0,820
726	727	22	44	1,100
726	963	17	51	0,860
727	728	19	38	0,790
727	990	24	24	1,150
728	729	2	4	1,490
728	957	24	24	1,160
729	730	4	4	1,320
729	805	24	72	1,380
730	731	1	1	1,220
730	823	2	2	0,910
731	732	24	48	0,830
731	888	13	39	1,090
732	733	8	16	1,030
732	933	11	11	0,930
733	734	11	33	1,360
733	740	15	15	1,400
734	735	2	4	0,960
734	754	16	48	0,910
735	736	23	23	0,880
735	810	13	13	1,190
736	737	1	2	1,040
736	782	18	36	1,320
737	738	20	60	1,300
737	803	10	20	1,320
738	739	8	8	1,110
738	765	12	12	1,430
739	740	10	20	0,840
739	799	10	20	1,030
740	741	21	63	1,250
740	1000	18	36	1,300
741	742	23	69	0,880
741	973	12	12	0,800
742	743	12	36	0,810
742	943	6	18	1,260
743	744	1	1	1,110
743	885	14	42	1,400
744	745	13	39	1,110
744	832	21	42	1,030
745	746	12	12	1,310
745	994	3	3	1,090
746	747	25	75	1,460
746	895	24	48	1,200
747	748	25	75	0,830
747	995	20	20	0,860
748	749	13	39	1,240
748	783	9	27	1,340
749	750	9	27	1,300
749	887	21	42	1,160
750	751	22	66	1,090
750	948	8	24	1,140
751	752	14	14	1,270
751	765	14	42	1,360
752	753	22	44	1,030
752	777	8	16	1,180
753	754	14	14	1,280
753	928	13	39	1,020
754	755	16	48	1,040
754	810	5	5	1,400
755	756	3	6	1,340
755	969	1	2	1,040
756	757	23	69	0,820
756	874	25	50	1,080
757	758	4	12	0,960
757	954	14	28	1,450
758	759	12	36	1,160
758	861	5	10	0,840
759	760	21	42	1,460
759	890	25	75	1,010
760	761	9	18	0,880
760	956	16	48	1,130
761	762	15	45	0,750
761	816	7	14	1,190
762	763	24	48	1,290
762	997	10	20	0,880
763	764	3	3	1,260
763	840	5	5	1,390
764	765	9	27	1,350
764	834	18	54	1,190
765	766	14	14	1,180
765	997	9	27	1,310
766	767	11	11	0,960
766	776	18	18	1,000
767	768	23	69	0,760
767	988	16	48	1,270
768	769	8	8	1,490
768	974	19	57	0,930
769	770	2	6	0,750
769	862	12	36	0,970
770	771	7	7	0,990
770	807	13	39	0,800
771	772	8	16	1,400
771	933	22	44	0,850
772	773	12	36	1,390
772	773	7	21	1,340
773	774	4	8	0,860
773	995	12	24	1,170
774	775	18	54	1,400
774	903	19	38	1,400
775	776	5	10	1,170
775	902	23	46	1,330
776	777	18	36	1,170
776	832	15	45	1,010
777	778	5	10	1,380
777	937	7	14	1,210
778	779	4	8	1,290
778	938	10	20	1,400
779	780	18	18	1,110
779	900	5	15	0,900
780	781	22	22	1,360
780	934	13	26	0,970
781	782	7	21	0,940
781	848	18	54	1,460
782	783	1	1	1,040
782	929	6	12	0,800
783	784	12	12	1,420
783	915	17	34	1,000
784	785	13	13	1,440
784	859	9	27	1,060
785	786	14	28	1,160
785	938	21	21	1,370
786	787	18	36	1,380
786	875	22	22	1,270
787	788	6	6	0,790
787	931	10	10	1,000
788	789	25	75	1,200
788	885	9	18	1,330
789	790	19	19	0,970
789	917	3	3	0,860
790	791	25	25	1,240
790	880	4	12	1,450
791	792	25	25	0,760
791	868	23	69	0,750
792	793	23	69	1,180
792	852	23	23	1,460
793	794	23	69	1,420
793	897	6	18	1,360
794	795	14	28	1,450
794	838	23	69	1,080
795	796	11	22	1,410
795	919	17	34	0,760
796	797	2	6	1,490
796	803	18	36	0,760
797	798	7	14	0,870
797	868	9	27	1,060
798	799	3	6	1,380
798	925	2	6	1,140
799	800	6	6	1,360
799	901	14	14	1,470
800	801	2	2	0,960
800	914	5	15	1,040
801	802	17	51	0,960
801	889	18	18	0,790
802	803	15	15	0,960
802	827	9	18	1,080
803	804	2	2	1,200
803	839	23	69	1,110
804	805	18	18	0,760
804	944	16	16	1,340
805	806	9	27	1,420
805	958	24	72	1,380
806	807	25	50	0,940
806	868	18	18	0,920
807	808	19	19	1,150
807	848	20	20	1,300
808	809	5	10	1,430
808	874	22	22	1,360
809	810	15	30	1,330
809	943	17	51	1,220
810	811	13	13	1,300
810	887	15	15	0,850
811	812	21	63	1,060
811	962	25	75	1,420
812	813	5	10	1,490
812	919	6	12	0,810
813	814	7	14	1,200
813	982	4	4	1,070
814	815	24	72	1,230
814	853	19	19	1,300
815	816	10	30	1,010
815	996	15	45	1,130
816	817	22	22	1,170
816	893	12	24	0,940
817	818	14	42	1,350
817	902	22	22	1,470
818	819	15	15	1,300
818	877	18	18	0,900
819	820	16	32	1,430
819	866	11	11	1,410
820	821	7	21	1,390
820	917	15	15	1,260
821	822	22	22	0,800
821	912	16	32	0,830
822	823	5	5	1,000
822	838	9	9	1,480
823	824	25	25	1,270
823	994	7	14	1,500
824	825	2	2	0,770
824	950	12	12	1,140
825	826	12	12	1,480
825	927	19	38	1,330
826	827	18	54	1,230
826	866	6	12	1,200
827	828	13	13	1,170
827	846	8	8	1,200
828	829	9	27	1,100
828	951	22	44	1,100
829	830	4	8	0,960
829	852	19	19	1,490
830	831	11	33	1,010
830	839	20	60	0,890
831	832	4	4	1,460
831	902	2	2	0,890
832	833	2	2	1,270
832	895	19	57	0,820
833	834	7	14	1,420
833	860	20	60	1,370
834	835	23	69	1,500
834	991	5	10	1,160
835	836	19	19	1,470
835	995	20	60	1,240
836	837	7	14	0,760
836	949	24	72	1,210
837	838	7	7	0,830
837	996	1	2	1,200
838	839	23	23	1,330
838	957	20	20	0,980
839	840	25	75	1,320
839	874	21	63	1,340
840	841	21	42	1,310
840	932	17	17	1,050
841	842	5	15	1,280
841	998	6	6	0,890
842	843	7	21	1,300
842	960	22	66	1,420
843	844	1	1	1,050
843	861	5	15	1,050
844	845	17	17	1,260
844	950	13	13	1,060
845	846	21	42	0,940
845	876	9	18	1,120
846	847	19	38	0,860
846	950	20	20	1,360
847	848	20	20	1,310
847	996	12	24	1,370
848	849	13	13	0,750
848	950	7	7	1,490
849	850	17	34	1,040
849	904	25	50	1,490
850	851	15	15	1,070
850	978	20	40	1,390
851	852	8	16	1,150
851	922	21	42	0,750
852	853	2	2	1,100
852	916	1	3	0,980
853	854	12	36	1,330
853	882	21	63	1,090
854	855	16	16	0,770
854	978	10	10	1,390
855	856	19	19	1,410
855	878	3	9	0,950
856	857	20	60	1,420
856	921	2	6	1,120
857	858	10	10	1,210
857	880	18	36	1,480
858	859	25	50	1,110
858	916	5	5	0,780
859	860	25	50	1,340
859	881	5	5	0,890
860	861	9	9	0,950
860	975	23	69	0,800
861	862	21	63	0,880
861	924	7	21	1,380
862	863	17	34	1,460
862	887	22	22	0,910
863	864	23	23	1,240
863	871	5	15	1,110
864	865	20	60	0,930
864	956	1	2	0,900
865	866	11	33	0,850
865	922	14	28	1,480
866	867	18	54	0,940
866	980	13	39	0,810
867	868	2	6	1,470
867	955	5	5	0,820
868	869	8	8	1,070
868	995	19	19	0,750
869	870	17	17	0,840
869	905	22	44	0,900
870	871	13	39	1,440
870	993	9	27	0,750
871	872	9	18	1,220
871	977	13	39	1,490
872	873	12	36	0,930
872	906	6	18	1,260
873	874	10	30	1,310
873	908	4	12	1,300
874	875	20	60	1,370
874	888	7	14	1,460
875	876	19	57	1,430
875	980	2	4	0,770
876	877	10	10	1,420
876	978	25	50	0,940
877	878	18	54	1,300
877	959	21	21	1,200
878	879	14	28	0,810
878	930	22	66	0,900
879	880	5	5	1,170
879	941	9	27	1,010
880	881	22	44	0,830
880	997	25	75	1,000
881	882	15	15	0,810
881	901	8	8	1,490
882	883	7	14	1,310
882	925	7	7	1,310
883	884	13	13	1,270
883	921	9	9	1,480
884	885	2	2	0,820
884	954	13	39	1,310
885	886	19	38	0,900
885	897	8	24	1,170
886	887	21	63	1,080
886	976	12	12	1,350
887	888	4	12	1,380
887	922	3	6	0,960
888	889	25	75	1,270
888	902	7	21	1,020
889	890	15	15	1,330
889	955	3	6	1,390
890	891	5	15	1,300
890	958	10	20	0,940
891	892	6	18	1,170
891	999	20	60	1,000
892	893	8	8	1,040
892	996	14	28	1,240
893	894	1	2	1,170
893	917	19	57	1,270
894	895	5	10	1,350
894	902	22	22	1,440
895	896	23	69	0,880
895	1000	15	45	1,140
896	897	24	48	0,760
896	943	24	24	0,950
897	898	20	40	1,360
897	950	19	38	1,420
898	899	16	32	1,220
898	901	4	8	1,470
899	900	23	46	1,100
899	980	16	32	0,880
900	901	17	51	0,850
900	985	14	42	1,140
901	902	21	21	1,270
901	991	18	18	1,170
902	903	7	14	1,130
902	981	24	24	0,930
903	904	3	6	0,990
903	918	24	48	1,400
904	905	1	2	0,810
904	969	5	15	1,440
905	906	15	15	1,420
905	970	15	30	0,990
906	907	13	13	1,320
906	931	24	72	1,020
907	908	7	14	0,910
907	973	16	16	1,350
908	909	23	69	1,060
908	932	21	63	1,370
909	910	11	11	1,350
909	978	9	9	0,900
910	911	10	30	1,330
910	997	5	10	1,410
911	912	4	8	1,350
911	985	22	66	0,780
912	913	25	75	1,250
912	934	25	50	1,110
913	914	11	22	1,090
913	979	20	60	1,050
914	915	24	72	0,900
914	960	15	45	1,330
915	916	13	39	0,840
915	984	2	6	0,980
916	917	6	6	1,060
916	961	5	15	1,320
917	918	7	21	1,440
917	946	15	15	1,400
918	919	19	19	1,400
918	978	9	27	0,950
919	920	2	6	1,450
919	993	12	36	0,940
920	921	12	36	0,860
920	963	18	18	1,290
921	922	5	10	1,460
921	955	18	54	1,280
922	923	4	4	0,900
922	966	16	48	0,880
923	924	19	38	1,000
923	955	1	2	1,270
924	925	20	20	0,980
924	939	5	10	1,490
925	926	2	6	1,480
925	935	8	24	1,270
926	927	19	38	1,410
926	957	23	46	0,930
927	928	19	57	0,850
927	936	2	4	1,130
928	929	2	4	0,910
928	931	16	48	1,300
929	930	14	28	1,020
929	959	17	34	1,350
930	931	1	3	1,380
930	933	19	57	0,870
931	932	4	8	1,440
931	946	9	9	1,330
932	933	22	66	0,910
932	943	12	36	0,950
933	934	21	21	1,090
933	937	15	45	1,400
934	935	18	18	1,040
934	998	11	11	1,380
935	936	25	25	1,010
935	979	12	36	0,800
936	937	7	14	1,140
936	996	1	1	1,140
937	938	13	26	1,340
937	980	22	66	1,460
938	939	3	6	1,030
938	977	2	4	1,140
939	940	3	3	1,260
939	973	18	54	1,370
940	941	2	6	0,810
940	995	12	12	1,090
941	942	7	7	1,130
941	960	14	28	1,310
942	943	7	14	1,170
942	974	4	12	1,200
943	944	18	54	0,930
943	995	10	30	1,230
944	945	11	22	1,270
944	963	15	30	0,750
945	946	7	7	1,180
945	975	17	34	1,100
946	947	15	45	1,360
946	956	24	72	0,870
947	948	2	6	1,210
947	997	14	42	1,380
948	949	4	12	1,280
948	975	1	2	1,130
949	950	3	9	1,410
949	959	14	14	1,430
950	951	1	3	1,130
950	982	8	24	1,230
951	952	25	75	1,360
951	995	4	8	1,440
952	953	3	3	1,450
952	989	3	3	0,880
953	954	14	14	0,850
953	954	9	27	1,120
954	955	22	44	0,850
954	971	5	10	0,950
955	956	4	8	1,120
955	985	16	32	1,290
956	957	20	60	0,770
956	992	17	51	1,480
957	958	10	10	1,060
957	958	15	30	1,270
958	959	4	8	0,810
958	984	22	66	1,460
959	960	7	7	1,290
959	963	7	21	1,060
960	961	24	24	0,870
960	961	24	72	1,380
961	962	11	22	1,420
961	973	24	72	1,250
962	963	6	12	1,160
962	976	9	27	1,400
963	964	21	63	1,120
963	992	18	54	0,890
964	965	23	23	1,200
964	996	22	44	1,200
965	966	22	66	1,160
965	994	5	10	1,310
966	967	1	3	1,220
966	1000	17	17	1,310
967	968	6	18	0,780
967	974	12	36	0,850
968	969	15	30	0,800
968	1000	8	24	1,030
969	970	4	8	1,130
969	999	18	18	0,780
970	971	5	5	1,230
970	986	12	36	0,920
971	972	3	9	1,400
971	987	17	17	1,250
972	973	1	1	1,230
972	1000	7	7	0,870
973	974	20	40	1,480
973	984	2	6	1,070
974	975	6	12	1,190
974	999	4	8	1,410
975	976	3	6	1,470
975	980	24	48	1,350
976	977	23	46	0,860
976	982	6	12	1,400
977	978	12	36	1,390
977	989	7	14	1,060
978	979	21	42	0,940
978	980	3	3	1,120
979	980	1	1	0,850
979	986	3	6	1,180
980	981	5	15	1,260
980	985	23	23	1,430
981	982	15	30	0,880
981	988	5	10	0,890
982	983	7	14	1,220
982	994	3	9	1,380
983	984	14	14	0,810
983	998	17	51	0,890
984	985	24	48	0,770
984	995	5	15	1,180
985	986	22	44	1,130
985	991	11	11	1,280
986	987	9	27	1,460
986	988	2	6	1,420
987	988	1	2	0,990
987	992	22	44	1,470
988	989	12	36	0,810
988	996	4	4	0,990
989	990	22	66	1,330
989	997	5	5	1,340
990	991	19	38	1,230
990	995	16	16	0,800
991	992	24	24	1,240
991	1000	9	9	0,960
992	993	4	8	1,000
992	999	13	39	1,180
993	994	19	57	1,440
993	994	6	18	1,480
994	995	11	11	0,950
994	999	6	12	1,200
995	996	12	24	1,030
995	997	22	22	0,940
996	997	10	30	0,820
996	997	24	24	0,960
997	998	23	69	1,280
997	998	14	42	0,800
998	999	16	16	1,390
998	999	25	50	1,420
999	1000	20	40	1,130
999	1000	11	11	0,970
1000	1	5	15	0,820
1000	5	3	3	1,080
